รายการค่าตอบแทนแพทย์ในการปฏิบัติงานและทำหัตถการนอกเวลา โรงพยาบาลวิเศษชัยชาญ,,
อ้างอิงจากบัญชีอัตราค่าตอบแทนแพทย์ตามคุณภาพและปริมาณงาน ในเอกสารแนบท้ายหลักเกณฑ์ วิธีการ และเงื่อนไข,,
การจ่ายเงินค่าตอบแทนสำหรับเจ้าหน้าที่ที่ปฏิบัติงานให้กับหน่วยบริการในสังกัดกระทรวงสาธารณสุข พ.ศ. 2566,,
,,
รหัส หัตถการ,ชื่อหัตถการ/ภาระงาน,ค่า ตอบแทน
001,All endoscopy (ยกเว้น proctoscopy),400
002,Endoscopic sclerotherapy / endoscopic therapy,800
003,Pleural tapping,200
004,Peritoneal tapping,200
005,Casting,200
006,Closed reduction and casting,400
007,Cut down / subclavian catheter / internal jugular catheter / double lumen catheter,400
008,Chest drain,400
009,Debridement of cellulitis / incision and drainage,200
010,Debridement of necrotizing fasciitis,400
011,Debridement of open wound grade 1 and 2,200
012,Debridement of open wound grade 3,400
013,Drainage of Ludwig's angina / deep abscess,400
014,Complex repair of wound (debridement and suture),400
015,Complex repair of wound (skin graft),800
016,Complex repair of facial wound,1200
017,Flap coverage,1200
018,Scrub burn (minor burn),400
019,Scrub burn (major burn),800
020,Escharotomy with scrub burn (major burn),1200
021,Appendectomy,800
022,Hydrostatic reduction of intussuception,600
023,Herniorrhaphy (ผู้ป่วย incarcerated hernia),800
024,Hemorrhoidectomy (ผู้ป่วย prolapsed hemorrhoid),800
025,Explore laparotomy with negative finding,800
026,Explore laparotomy with lysis adhesion,1200
027,Suture of intestine,1200
028,Anastomosis of intestine,1600
029,Surgery for duodenal injury,2000
030,Splenectomy / splenorrhaphy,1200
031,Drainage of liver abscess,1200
032,Abdominal drainage of pancreatitis,1600
033,Cholecystectomy,1200
034,Cholecystectomy with explore CBD,1600
035,Cholecystectomy with bypass,2000
036,Biliary and pancreatic bypass,2000
037,Pancreatectomy,2000
038,Whipple operation,2400
039,Colostomy / exteriorization of intestine,800
040,Explore laparotomy with colostomy (ผู้ป่วย gut obstruction),1200
041,Colectomy,1600
042,Subtotal colectomy,2000
043,Suture of PU perforation,1200
044,Gastrotomy and suture bleeding points,1200
045,Open ligation of esophageal varices,1600
046,Pyloroplasty,1200
047,Truncal vagotomy with drainage,1600
048,Total and subtotal gastrectomy,2000
049,Perihepatic packing,1200
050,Suture of liver,1600
051,Hepatectomy,2400
052,Damage control surgery (ผู้ป่วย severe intra-abdominal injury with massive bleeding),2400
053,Exploration of neck,1200
054,Suture of esophageal wound,1600
055,Esophagostomy,1600
056,Esophagectomy,2400
057,Thoracotomy,1200
058,Decortication,1600
059,Lung lobectomy,1600
060,Pneumonectomy,2000
061,Pericardiotomy,1200
062,Pericardiectomy,2000
063,"Repair of heart, pericardium and major vessels",2400
064,Repair TL fistula,2000
065,Repair trachea and bronchus,2000
066,Repair diaphragmatic hernia / laceration of diaphragm,1600
067,Repair gastrocoloptosis and gastrochisis,1600
068,Reconstruction of esophageal atresia,2400
069,Reconstruction of biliary atresia,2400
070,Reconstruction of TE fistula,2000
071,Reconstruction of imperforated anus,2000
072,Embolectomy,1200
073,Repair vessel,1200
074,AV shunt,1600
075,Vein / vascular graft,2000
076,Abdominal aneurysmectomy,2400
077,Abdominal vascular shunt operation,2400
078,Replantation of finger (ต่อ 1 นิ้ว),2400
079,Microscopic anastomosis of vessels,2400
080,Repair nerve (1 เส้น),800
081,Repair nerve (2 เส้นขึ้นไป),1200
082,Craniotomy and remove blood clot / tumour,2400
083,Craniectomy (ผู้ป่วย open depressed fracture skull),2000
084,Burr hole operation (ผู้ป่วย chronic subdural hematoma),1600
085,VP shunt / VA shunt,1600
086,Ventriculostomy,1600
087,Craniotomy with clipping aneurysm / resection AVM,3600
088,Skull traction,400
089,Anterior decompression and fixation (spine surgery),2400
090,Posterior decompression and fixation (spine surgery),2400
091,Combined anterior and posterior decompression and fixation (spine surgery),3600
092,Circumcision,400
093,Suprapubic cystostomy,400
094,Ureterostomy,1200
095,Open nephrostomy,1200
096,Nephroscopy / PCNL,1200
097,Repair urethra,1200
098,Repair bladder,800
099,Repair ureter,1200
100,Repair kidney,1600
101,Partial amputation of penis,800
102,Reimplantation of penis,2400
103,Nephrectomy,1200
104,Urethral stone removal,400
105,Cystolitholapexy,800
106,Cystolithotomy,800
107,Ureterolithotomy,1200
108,Nephrotomy / Nephrolithotomy,1600
109,Transurethral resection,1200
110,Transurethral resection,800
111,Cystectomy and conduit,2400
112,Skin traction,200
113,Skeletal traction,400
114,External fixator application,800
115,Amputation and disarticulation of finger and toe,400
116,Amputation above and below elbow,1200
117,Amputation above and below knee,1200
118,Hip and shoulder disarticulation,1600
119,Debridement of open fracture grade 1 and 2,400
120,Debridement of open fracture grade 3,800
121,Drainage of acute osteomyelitis,400
122,Drainage of tendon sheath / palmar bursa,400
123,Fasciotomy (ผู้ป่วย compartment syndrome),800
124,Arthrotomy (small joint),400
125,Arthrotomy (large joint),800
126,K-wire fixation (1 fracture site),400
127,K-wire fixation (2-4 fracture sites),800
128,K-wire fixation (>4 fracture sites),1200
129,Repair tendon (1 tendon),400
130,Repair tendon (2-4 tendons),800
131,Repair tendon (>4 tendons),1200
132,Open reduction of dislocation (ยกเว้น hip),800
133,Open reduction of hip dislocation,1200
134,ORIF for fracture metacarpal / metatarsal / clavicle,800
135,ORIF for fracture radius / ulna / tibia / fibula,1200
136,ORIF for fracture humerus / femur,1600
137,ORIF for articular fracture of large joint,1600
138,ORIF for fracture acetabulum (anterior / posterior approach),1600
139,ORIF for fracture acetabulum (combined anterior and posterior approach),2400
140,ORIF for fracture pelvis (anterior fixation),1600
141,ORIF for fracture pelvis (posterior fixation),2400
142,Harrington instrumentation for acute cord compression,2400
143,Pedicular screw instrumentation,2400
144,Replantation of limb,3600
145,Repair facial nerve,1200
146,Repair parotid duct,1200
147,Reduction and splint for nasal fracture,400
148,Reduction and fixation for mandubular fracture (IMF),800
149,Reduction and fixation for mandubular fracture (ORIF with IMF),1200
150,Open reduction of orbit and malar complex,800
151,ORIF of orbit and malar complex,1200
152,ORIF with IMF for Le Forte fracture,1600
153,ORIF with IMF for multiple facial / panfacial fracture,2400
